PEMBROlizumab
OSIMERTINIB
NIVOlumab
ABEMACICLIB
EMTANSINA TRASTUZUMAB
PERTuzumab
PANItumumab
ALECTINIB
DABRAFENIB
NIRAPARIB
TRASTuzumab
CABOZANTINIB
DERUXTECAN TRASTUZUMAB
RAMUCIRUMAB
ATEZOlizumab
BEVACIZUMAB
OLAPARIB
TRAMETINIB
RIBOCICLIB
DURVALUMAB
LENVATINIB
PALBOCICLIB
TRIFLURIDINA TIPIRACILO
IPILIMUMAB
PAZOPANIB
CRIZOTINIB
TRABECTEDINA
AVELumab
LORLATINIB
ENZALUTAMIDA
AFATINIB
CAPECITABINA
CETUXIMAB
PACLitaxel ALBUMINA
AFLIBERCEPT
SACITUZUMAB GOVITECAN
eriBULina
PACLITAXEL
CLORURO DE SODIO
ENCORAFENIB
EVEROLIMUS
VINORELBINA
PEMETREXED
BINIMETINIB
CARBOPLATINO
ABIRATERONA
DENOSUMAB
EVEROLIMUS
FILGRASTIM
FLUOROURACILO
DOXORUBICINA
GEMCITABINA
REGORAFENIB
SELPERCATINIB
REMDESIVIR
ENOXAPARINA
IRINOTECAN
NINTEDANIB
PLERIXAFOR
ALPELISIB
RUCAPARIB
ALBÚMINA
TEMOZOLOMIDA
OXALIPLATINO
SOTORASIB
